,readability,document_size,redundancy_check,function_size,resolutions,sample_index
0,0.0,52.0,92.31,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",4657
1,0.0,52.0,92.31,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",4564
2,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",3244
3,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",1619
4,0.0,48.0,75.0,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",2421
5,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",2941
6,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",2924
7,0.0,36.0,100.0,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",3899
8,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",736
9,0.0,36.0,100.0,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",138
10,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",3190
11,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",4444
12,0.0,56.0,64.29,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mDivide large pieces of code into small reusable pieces of code.\x1b[0m']",1898
13,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",2525
14,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",3618
15,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",2647
16,0.0,32.0,100.0,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",4405
17,0.0,44.0,81.82,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m', '\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m']",4801
18,0.0,100.0,76.19,100.0,"['\x1b[36mAdding comments, giving helpful variable names, consistent casing may help with readability.\x1b[0m']",983
