readability,document_size,redundancy_check,function_size,resolutions,sample_index
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",617
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",586
100.0,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",914
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",450
71.43,56.0,92.86,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",623
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",99
100.0,60.0,93.33,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",500
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",955
76.92,52.0,92.31,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",815
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",864
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",520
