readability,document_size,redundancy_check,function_size,resolutions,sample_index
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",108
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",118
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",99
100.0,40.0,90.0,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",138
100.0,36.0,88.89,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",128
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",139
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",129
100.0,44.0,90.91,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",119
100.0,44.0,90.91,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",7
100.0,44.0,81.82,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",153
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",44
83.33,48.0,91.67,50.0,"['\x1b[36mExtremely large documents may deter people from reading, very small document may be wasteful.\x1b[0m', '\x1b[36mKeep functions small. Large functions get unmanageable over time.\x1b[0m']",21
