sample_index,premise,hypothesis,golden_label,reference_label,completion
423,"The spotted-eagle ray weighed about 75 to 80 pounds and had a 6-foot wingspan, Pino said.","Spotted eagle ray weighed 75 to 80 pounds, official says.",entailment,entailment,"weight_lower_limit_premise = 75
weight_upper_limit_premise = 80
weight_lower_limit_hypothesis = 75
weight_upper_limit_hypothesis = 80

# the hypothesis mentions the weight of the spotted-eagle ray, which is also mentioned in the premise
if weight_lower_limit_hypothesis < weight_lower_limit_premise or weight_upper_limit_hypothesis > weight_upper_limit_premise:
    # check if the weight range in the hypothesis contradicts the weight range mentioned in the premise
    label = ""contradiction""
else:
    # if the weight range in the hypothesis does not contradict the weight range from the premise, we can infer entailment
    label = ""entailment""

print(label)
"
477,"As one man tweeted,'' if you really want to see what the public thinks of police officers just take a look at #AskACop.''","'' Just take a look at #AskACop'' to see public's view of police, one man tweets.",entailment,entailment,"# there are no numerical entities in either the premise or the hypothesis, so no variables need to be defined

# the hypothesis is a rewording of the premise, and does not introduce any new information or contradict the premise
label = ""entailment""

print(label)
"
230,"China is the largest global producer and consumer of coal, comprising 75 percent of China's total energy consumption.",Coal makes up 75 percent of China's energy use.,entailment,entailment,"coal_consumption_premise = 0.75
coal_consumption_hypothesis = 0.75

# the hypothesis mentions the percentage of coal in China's energy use, which is also mentioned in the premise
if coal_consumption_hypothesis != coal_consumption_premise:
    # check if the coal consumption percentage in the hypothesis contradicts that in the premise
    label = ""contradiction""
else:
    # if the coal consumption percentage in the hypothesis does not contradict that in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
452,Two senior administration officials told CNN that U.S. authorities had intelligence that they shared with the Russians.,Two U.S. officials tell CNN that information was shared with the Russians.,entailment,entailment,"officials_premise = 2
officials_hypothesis = 2

# the hypothesis mentions the number of U.S. officials who shared information with the Russians, which is also mentioned in the premise
if officials_hypothesis != officials_premise:
    # check if the number of officials in the hypothesis contradicts the number of officials reported in the premise
    label = ""contradiction""
else:
    # if the number of officials in the hypothesis does not contradict the number of officials in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
155,"Loud sirens sounded after the quake, which had an estimated depth of 40 miles, the USGS said.","The depth of the quake was 40 miles, the U.S. Geological Survey says.",entailment,entailment,"depth_premise = 40
depth_hypothesis = 40

# the hypothesis mentions the depth of the earthquake, which is also mentioned in the premise
if depth_hypothesis != depth_premise:
    # check if the depth in the hypothesis contradicts the depth reported in the premise
    label = ""contradiction""
else:
    # if the depth in the hypothesis does not contradict the depth in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
809,The billionaire real estate mogul is suing millionaire comedian Bill Maher for $5 million.,The comedian offers $5 million for Trump to prove otherwise.,neutral,neutral,"suing_amount_premise = 5000000
offer_amount_hypothesis = 5000000

# the hypothesis mentions the amount offered by the comedian, which is also referenced in the premise
# however, the context of the amount's usage cannot be entailed from the premise
label = ""neutral""

print(label)
"
309,"BP has received 3,400 claims for lost income and damages and 295 of those claims have been paid, at a price of $3.5 million, Nagel said.","BP hit with 3,400 claims for lost income and damages ; 295 paid, to tune of $3.5 million.",entailment,entailment,"claims_received_premise = 3400
claims_received_hypothesis = 3400
claims_paid_premise = 295
claims_paid_hypothesis = 295
total_amount_paid_premise = 3.5e6
total_amount_paid_hypothesis = 3.5e6

# the hypothesis mentions the number of claims received and paid by BP and the total amount paid, which are also mentioned in the premise
if claims_received_hypothesis != claims_received_premise:
    # check if the number of claims received in the hypothesis contradicts the number reported in the premise
    label = ""contradiction""
elif claims_paid_hypothesis != claims_paid_premise:
    # check if the number of claims paid from the hypothesis contradicts the number of claims paid in the premise
    label = ""contradiction""
elif total_amount_paid_hypothesis != total_amount_paid_premise:
    # check if the total amount paid from the hypothesis contradicts the total amount paid in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
894,The British island group of Tristan da Cunha stands profoundly alone in the South Atlantic.,"The islands of Tristan da Cunha sit 1,750 miles off South Africa.",neutral,neutral,"# There are no numerical entities mentioned in the premise
# The numerical entity in the hypothesis represents the distance of the islands from South Africa
distance_hypothesis = 1750

# Since there is no numerical or distance information provided in the premise, we cannot entail or contradict the hypothesis
label = ""neutral""

print(label)
"
316,"Two of the arrested cartel members were responsible for the payments for the killings, and two acted as lookouts during the incident, he said.","Two of the arrested were responsible for payout ; two acted as lookouts, official says.",entailment,entailment,"responsible_premise = 2
responsible_hypothesis = 2
lookouts_premise = 2
lookouts_hypothesis = 2

# the hypothesis mentions the number of arrested members responsible for payouts and acting as lookouts, which is also referenced in the premise
if responsible_hypothesis != responsible_premise:
    # check if the number of arrested responsible for payouts in the hypothesis contradicts the same number in the premise
    label = ""contradiction""
elif lookouts_hypothesis != lookouts_premise:
    # check if the number of arrested acting as lookouts from the hypothesis contradicts the same number in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
184,"Earlier, world number five Robin Soderling had to save three match points before ending the fairytale run of Llodra.",Soderling saves three match points to end hopes of Frenchman Michael Llodra.,entailment,entailment,"match_points_saved_premise = 3
match_points_saved_hypothesis = 3

# the hypothesis mentions the number of match points saved by Soderling, which is also referenced in the premise
# the hypothesis does not provide any additional numerical information that contradicts the premise
if match_points_saved_hypothesis != match_points_saved_premise:
    # check if the number of match points saved in the hypothesis contradicts the number of match points saved in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
