sample_index,premise,hypothesis,golden_label,reference_label,completion
10,"After the deal closes, Teva will generate sales of about $7 billion a year, the company said.",Teva earns $7 billion a year.,neutral,neutral,"sales_premise = 7e9
sales_hypothesis = 7e9

# the hypothesis talks about the sales of Teva, which is also mentioned in the premise
# but the premise mentions this as a future event (""After the deal closes""), while the hypothesis states it as a current fact
# as the hypothesis does not contradict the premise, but cannot be fully and explicitly entailed from the premise, we infer neutral
label = ""neutral""

print(label)
"
44,"A former executive of Digital Equipment Corp. and two others pleaded guilty Tuesday to siphoning nearly $300,000 from the computer company.","A former executive of Digital Equipment Corp. siphoned nearly $300,000 from the company.",entailment,entailment,"money_siphoned_premise = 300000
money_siphoned_hypothesis = 300000

# the hypothesis talks about the money siphoned by an executive which is also mentioned in the premise
if money_siphoned_hypothesis != money_siphoned_premise:
    # check if the amount siphoned in the hypothesis contradicts the amount from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
74,"The European Council is made up of the Heads of State or Government of the fifteen Member States of the EU, the Foreign Ministers and the President of the Commission. It must not be confused with the Council of Europe, which is an international organisation, nor with the Council of the European Union.",There are 15 Member States in the Council of Europe.,neutral,neutral,"member_states_european_council_premise = 15
member_states_council_of_europe_hypothesis = 15

# the hypothesis talks about the number of member states in the Council of Europe, which is not mentioned in the premise
# the hypothesis cannot be entailed from the premise, since the number of member states of the Council of Europe is unknown.
label = ""neutral""

print(label)
"
40,"The World Court, or International Court of Justice (ICJ), located in The Hague, is made up of fifteen permanent judges plus two judges nominated by the parties involved in the dispute under consideration.",Two judges of the ICJ are nominated by the parties involved.,entailment,entailment,"total_judges_premise = 15
additional_judges_premise = 2
additional_judges_hypothesis = 2

# the hypothesis talks about the number of additional judges nominated by the parties involved, which is also mentioned in the premise
if additional_judges_hypothesis != additional_judges_premise:
    # check if the number of additional judges in the hypothesis contradicts the number of additional judges from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
115,"Mrs. Bush's approval ratings have remained very high, above 80 %, even as her husband's have recently dropped below 50%.",80% approve of Mr. Bush.,neutral,neutral,"approval_rating_mrs_bush_premise = 80
approval_rating_mr_bush_premise = 50
approval_rating_mr_bush_hypothesis = 80

# the hypothesis talks about the approval rating of Mr. Bush, which is also mentioned in the premise
if approval_rating_mr_bush_hypothesis > approval_rating_mr_bush_premise:
    # check if the approval rating of Mr. Bush in the hypothesis contradicts the approval rating in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
89,"One of seven people killed in an explosion at a busy shopping centre near Helsinki was suspected to have carried out the attack, police have said.",The teenage bomber behind a blast was one of the seven people who died.,neutral,neutral,"people_killed_premise = 7
people_killed_hypothesis = 7
suspect_premise = 1
suspect_hypothesis = 1

# the hypothesis talks about the number of people killed and the suspect which are also mentioned in the premise
# the premise does not specify the age of the suspect, so we cannot infer if the suspect was a teenager
# hence, we cannot infer entailment or contradiction, so the relation is neutral

label = ""neutral""

print(label)
"
123,"Take consumer products giant Procter and Gamble. Even with a $1.8 billion Research and Development budget, it still manages 500 active partnerships each year, many of them with small companies.",Procter and Gamble spends $1.8 billion for Research and Development.,entailment,entailment,"rd_budget_premise = 1.8e9
rd_budget_hypothesis = 1.8e9

# the hypothesis talks about the Research and Development budget of Procter and Gamble, which is also mentioned in the premise
# the hypothesis does not contradict the premise, we can infer entailment
if rd_budget_hypothesis == rd_budget_premise:
    label = ""entailment""
else:
    label = ""contradiction""

print(label)
"
152,Amsterdam police said Wednesday that they have recovered stolen lithographs by the late U.S. pop artist Andy Warhol worth more than $1 million.,Police recovered 81 Andy Warhol lithographs.,neutral,neutral,"artwork_value_premise = 1e6

# the hypothesis talks about the number of lithographs, which is not mentioned in the premise
# the hypothesis cannot be entailed from the premise, since the number of lithographs is unknown.
label = ""neutral""

print(label)
"
90,"Quarterback Donovan McNabb was every bit Quarterback Tom Brady's equal for 48 passes Sunday night, throwing for 357 yards and three touchdowns in his Super Bowl debut for the Philadelphia Eagles.",McNabb's 357 yards were the best postseason game of his career.,neutral,neutral,"mcnabb_yards_premise = 357
mcnabb_yards_hypothesis = 357

# the hypothesis talks about McNabb's best postseason game, which is not mentioned in the premise (just his Super Bowl debut is mentioned)
# the hypothesis cannot be entailed from the premise, since we don't know if this was his best postseason game.
label = ""neutral""

print(label)
"
145,"Mars has the smallest confirmed moon, Deimos, which is about 7.5 miles in diameter.",The terrestrial moon has a diameter of 3746 kilometers.,neutral,neutral,"deimos_diameter_miles_premise = 7.5
terrestrial_moon_diameter_km_hypothesis = 3746

# converting miles to kilometers for comparison
deimos_diameter_km_premise = deimos_diameter_miles_premise * 1.60934

# the hypothesis talks about the diameter of the terrestrial moon, not the diameter of Deimos
# the premise and hypothesis are talking about two different moons, so we cannot infer entailment or contradiction
label = ""neutral""

print(label)
"
75,There are 360 million European citizens in 15 member states and yet we can not find just 20 men and women with the relevant professional competence and work experience to be commissioners.,There are 360 million European citizens.,entailment,entailment,"citizens_premise = 360e6
citizens_hypothesis = 360e6

# the hypothesis talks about the number of European citizens, which is also mentioned in the premise
if citizens_hypothesis != citizens_premise:
    # check if the number of European citizens in the hypothesis contradicts the number of European citizens from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
