sample_index,premise,hypothesis,golden_label,reference_label,completion
575,"Peter Siebold, 43, was identified as the pilot who survived the crash.","Pilot who survived identified as Peter Siebold, 43, Sheriff's Office says.",neutral,entailment,"age_premise = 43
age_hypothesis = 43

# the hypothesis mentions the age of the pilot who survived the crash, which is also mentioned in the premise
if age_hypothesis != age_premise:
    # check if the age from the hypothesis contradicts the age reported in the premise
    label = ""contradiction""
else:
    # if the age from the hypothesis does not contradict the age in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
914,Holder said the Justice Department is working on extradition proceedings for the seven charged in the consulate killings and already in custody.,Ten Mexican nationals have been charged and seven are already in custody.,neutral,neutral,"charged_premise = 7
custody_premise = 7
charged_hypothesis = 10
custody_hypothesis = 7

# the hypothesis mentions the number of people charged and the number of people in custody, which are also mentioned in the premise
if charged_hypothesis != charged_premise:
    # check if the number of people charged in the hypothesis contradicts the number of people charged in the premise
    label = ""contradiction""
elif custody_hypothesis != custody_premise:
    # check if the number of people in custody from the hypothesis contradicts the number of people in custody in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
450,The nine were brought into Somali waters and then handed over to the Puntland coast guard.,"Nine people were brought into Somali waters, handed to coast guard.",entailment,entailment,"people_premise = 9
people_hypothesis = 9

# the hypothesis mentions the number of people brought into Somali waters and handed to the coast guard, 
# which is also referenced in the premise
if people_hypothesis != people_premise:
    # check if the number of people in the hypothesis contradicts the number of people reported in the premise
    label = ""contradiction""
else:
    # if the number of people in the hypothesis does not contradict the number of people in the premise, 
    # we can infer entailment
    label = ""entailment""

print(label)
"
860,"There are some additional 863 cancer cases among both fire and EMS personnel, according to FDNY, which keeps a separate database for its members.","There are at least 2,509 certified cancer cases among 9/11 responders and rescuers.",neutral,neutral,"additional_cases_premise = 863
certified_cases_hypothesis = 2509

# The hypothesis mentions the total number of certified cancer cases among the 9/11 responders and rescuers
# The premise mentions the number of additional cancer cases among both fire and EMS personnel
# There is no clear information whether the fire and EMS personnel are included in the 9/11 responders and rescuers

if additional_cases_premise > certified_cases_hypothesis:
    # check if the additional cases in the premise are greater than the certified cases in the hypothesis
    label = ""contradiction""
else:
    # if the additional cases are not greater than the certified cases, we cannot infer entailment or contradiction, so the label is neutral
    label = ""neutral""

print(label)
"
831,The survey said 57% supported it going forward and 28% opposing.,New CNN/ORC survey shows 57% of Americans support the pipeline going forward.,neutral,neutral,"support_premise = 0.57
support_hypothesis = 0.57
oppose_premise = 0.28

# the hypothesis mentions the support percentage from the survey, which is also referenced in the premise
# however, the hypothesis does not mention anything about the opposition percentage which is present in the premise
if support_hypothesis != support_premise:
    # check if the support percentage in the hypothesis contradicts the support percentage reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer neutrality
    label = ""neutral""

print(label)
"
388,"Still, the CDC wants to interview all 132 passengers who were on the plane with her.",Officials want to interview all 132 passengers on her flight.,entailment,entailment,"passengers_premise = 132
passengers_hypothesis = 132

# the hypothesis mentions the number of passengers on the plane, which is also referenced in the premise
if passengers_hypothesis != passengers_premise:
    # check if the number of passengers in the hypothesis contradicts the number of passengers reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
159,"In addition to sex abuse, McDonald said that his team'' is also investigating the possible murder of three young boys.''",Police are investigating the possible murder of three boys and claims of sexual abuse.,entailment,entailment,"investigation_premise = 3
investigation_hypothesis = 3

# Both the premise and hypothesis mention investigation of possible murder of three young boys
# Both also mention investigation of sexual abuse

if investigation_hypothesis != investigation_premise:
    # check if the number of investigations in the hypothesis contradicts the number of investigations in the premise
    label = ""contradiction""
else:
    # if the number of investigations in the hypothesis does not contradict the number in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
722,Half a million pilots needed globally.,As many as half a million new pilots needed globally.,neutral,entailment,"pilots_needed_premise = 500000
pilots_needed_hypothesis = 500000

# the hypothesis mentions the global need for new pilots, which is also mentioned in the premise
if pilots_needed_hypothesis != pilots_needed_premise:
    # check if the number of pilots needed in the hypothesis contradicts the number of pilots needed in the premise
    label = ""contradiction""
else:
    # if the hypothesis value does not contradict the premise value, we can infer entailment
    label = ""entailment""

print(label)
"
883,The two appeared together at ground zero in New York City to lay roses at the 9/11 memorial and speak with first responders and family members of victims.,"Barack Obama, John McCain lay roses at ground zero.",neutral,neutral,"# No numerical entities are presented in either the premise or the hypothesis, so no variables are needed

# The hypothesis mentions two individuals laying roses at ground zero, which is also referenced in the premise
# However, the hypothesis does not mention speaking with first responders or family members of victims, which is mentioned in the premise
# The hypothesis also states the names of the two individuals, which is not mentioned in the premise
label = ""neutral""

print(label)
"
99,San Diego Gas and Electric said all of its 1.4 million customers were without power.,San Diego-area utility says 1.4 million customers are without power.,entailment,entailment,"customers_without_power_premise = 1.4e6
customers_without_power_hypothesis = 1.4e6

# the hypothesis mentions the number of customers without power, which is also referenced in the premise
if customers_without_power_hypothesis != customers_without_power_premise:
    # check if the number of customers without power in the hypothesis contradicts the number stated in the premise
    label = ""contradiction""
else:
    # if the hypothesis value does not contradict the premise value, we can infer entailment
    label = ""entailment""

print(label)
"
