sample_index,premise,hypothesis,golden_label,reference_label,completion
89,"One of seven people killed in an explosion at a busy shopping centre near Helsinki was suspected to have carried out the attack, police have said.",The teenage bomber behind a blast was one of the seven people who died.,neutral,neutral,"people_killed_premise = 7
people_killed_hypothesis = 7
suspect_premise = 1
suspect_hypothesis = 1

# the hypothesis talks about the number of people killed and the suspect which are also mentioned in the premise
# the premise does not specify the age of the suspect, so we cannot infer if the suspect was a teenager
# hence, we cannot infer entailment or contradiction, so the relation is neutral

label = ""neutral""

print(label)
"
159,The law once required settlers to clear 80% of their land in two years to win ownership.,"Before the late 1980's some nations even gave land and tax credit to individuals and companies slashing, burning, and exploiting the forest.",neutral,neutral,"land_clearance_requirement_premise = 0.8
# The premise does not mention any tax credits or the exploitation of forests
# The hypothesis does not mention the percentage of land that needed to be cleared for ownership

# Since there is no common numerical entity between the two sentences, we can't make a direct comparison
label = ""neutral""

print(label)
"
108,"The deal comes some two weeks after a $16 billion deal was reached between AT & T and SBC, a top rival for Qwest.",The two firms sealed the deal despite what was thought to be a higher offer from rival US carrier Qwest.,neutral,neutral,"deal_amount_premise = 16e9
deal_amount_hypothesis = 0 # the hypothesis does not mention a deal amount

# the hypothesis does not talk about the deal amount, which is the numerical information mentioned in the premise
# thus, the hypothesis cannot be entailed from the premise
label = ""neutral""

print(label)
"
118,"General Dynamics, the maker of land combat systems, warships and Gulfstream business jets, reported net earnings of $374m in the third quarter, or $1.84 per share.",General Dynamics loses $374m.,neutral,neutral,"earnings_premise = 374e6
earnings_hypothesis = -374e6

# the hypothesis talks about the net earnings of General Dynamics, which is also mentioned in the premise
if earnings_hypothesis != earnings_premise:
    # check if the earnings in the hypothesis contradicts the earnings in the premise
    label = ""contradiction""
else:
    # if the earnings in the hypothesis do not contradict the earnings in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
149,"Police in Rio de Janeiro arrested five men and recovered millions of dollars worth of art stolen earlier this month, including works by Salvador Dali and Henri Matisse. Police recovered all the stolen art except two Chinese ceramic sculptures from the 7th Century and a collection of silverware.","Millions of dollars of art were recovered, including works by Dali.",entailment,entailment,"art_value_premise = 1e6  # ""millions of dollars worth of art""
art_value_hypothesis = 1e6  # ""millions of dollars of art""

# the hypothesis talks about the value of recovered art, which is also mentioned in the premise
if art_value_hypothesis != art_value_premise:
    # check if the value of recovered art in the hypothesis contradicts the value in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
99,"A militant group beheaded three Iraqi Kurdish hostages, showing the killings in a videotape posted on a Web site yesterday, while another group announced that it had kidnapped at least 15 Iraqi National Guardsmen.",A group claimed to have kidnapped 15 members of the Iraqi National Guard.,entailment,entailment,"# defining the variables
kurdish_hostages_premise = 3
iraqi_guards_premise = 15
iraqi_guards_hypothesis = 15

# the hypothesis talks about the number of Iraqi National Guardsmen kidnapped, which is also mentioned in the premise
if iraqi_guards_hypothesis != iraqi_guards_premise:
    # check if the number of Iraqi National Guardsmen kidnapped in the hypothesis contradicts the number from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
138,"It is outstripped only by Denmark, the Netherlands, Belgium, Sweden, Finland and France, and thus ranks 7th in the 25-member European Union in terms of broadband Internet penetration.",12 members of the European Union use the Euro instead of their own national currencies.,neutral,neutral,"rank_premise = 7
members_premise = 25
members_hypothesis = 12

# the hypothesis talks about the number of EU members using the Euro, which is not referenced in the premise (the premise talks about broadband internet penetration)
# the hypothesis cannot be entailed from the premise, since the information about the use of Euro is unknown.
label = ""neutral""

print(label)
"
128,"Elsewhere, Mozambique took its first ever Olympic gold medal when Maria Mutola won the women's eight-hundred metres, while the men's ten-thousand-metres went to the Ethiopian Haile Gebrselassie.",The women's ten thousand metres champion is from Mozambique.,neutral,neutral,"# Representing the races and their winners from the premise and hypothesis
race1_premise = 800
race1_premise_winner = 'Maria Mutola'
race1_premise_country = 'Mozambique'
race2_premise = 10000
race2_premise_winner = 'Haile Gebrselassie'
race2_premise_country = 'Ethiopia'

race_hypothesis = 10000
race_hypothesis_country = 'Mozambique'

# The hypothesis talks about the winner's country of the women's ten-thousand-metre race
# Comparing the race and country of the winner in the hypothesis with the premise
if race_hypothesis == race2_premise and race_hypothesis_country != race2_premise_country:
    # If the race matches but the country doesn't, it is a contradiction
    label = ""contradiction""
elif race_hypothesis == race1_premise and race_hypothesis_country != race1_premise_country:
    # If the race matches but the country doesn't, it is a contradiction
    label = ""contradiction""
else:
    # If the country of the winner in the hypothesis does not match any of the countries in the premise,
    # it cannot be entailed nor contradicted, so it is neutral
    label = ""neutral""

print(label)
"
2,"David Golinkin is single-handedly responsible for uncovering and re-publishing dozens of responsa of the Committee on Jewish Law and Standards of the Rabbinical Assembly, making them available to the general public in a three-volume set.",David Golinkin is the author of dozen of responsa of the Committee on Jewish Law and Standards of the Rabbinical Assembly.,neutral,entailment,"responsa_premise = 12 # dozen equals 12
responsa_hypothesis = 12

# the hypothesis talks about the number of responsa written by David, which is also mentioned in the premise
if responsa_premise != responsa_hypothesis:
    # check if the number of responsa in the hypothesis contradicts the number of responsa from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
139,"Romania currently supplies one of the world's largest contingents of troops in Iraq, with nearly 1000 people.",Romania sent 730 troops in Iraq.,neutral,entailment,"troops_premise = 1000
troops_hypothesis = 730

# the hypothesis talks about the number of troops Romania sent in Iraq, which is mentioned in the premise as well
if troops_hypothesis > troops_premise:
    # check if the number of troops in the hypothesis exceeds the number of troops from the premise
    label = ""contradiction""
elif troops_hypothesis <= troops_premise:
    # if the number of troops in the hypothesis does not exceed the number of troops in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
129,"Last week, saw the fall of the Dutch right wing coalition government, made up of the Christian-democrats (CDA) led by Prime Minister Jan Peter Balkenende, the right wing liberal party (VVD) and the so-called left-liberal D66.",Three parties form a Dutch coalition government.,entailment,entailment,"parties_in_coalition_premise = 3
parties_in_coalition_hypothesis = 3

# the hypothesis talks about the number of parties in the coalition, which is also mentioned in the premise
if parties_in_coalition_hypothesis != parties_in_coalition_premise:
    # check if the number of parties in the coalition in the hypothesis contradicts the number of parties from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
3,"During Reinsdorf's 24 seasons as chairman of the White Sox, the team has captured American League division championships three times, including an AL Central title in 2000.",Reinsdorf was the chairman of the White Sox for 24 seasons.,entailment,entailment,"chairman_years_premise = 24
chairman_years_hypothesis = 24

# the hypothesis talks about the number of seasons Reinsdorf was the chairman of the White Sox which is also mentioned in the premise
if chairman_years_hypothesis != chairman_years_premise:
    # check if the number of seasons in the hypothesis contradicts the number of seasons in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
88,"Israeli security forces seized large amounts of cash from four Palestinian bank branches Wednesday, saying much of the money was sent by Iran, Syria and Lebanese Hezbollah guerrillas to fund Palestinian militants.",The forces took millions of shekels in cash from the bank.,neutral,neutral,"# There are no specific quantities given in both sentences. Hence, no variables can be defined.

# the hypothesis talks about the seizure of millions of shekels from the bank which is not contradicted by the premise
# However, the premise does not provide a specific amount of money seized, hence it cannot confirm the hypothesis either.
label = ""neutral""

print(label)
"
158,Clinical trials involve 240 patients in 10 centres with each patient questioned three times.,Clinical trials involve an average of 200 patients per trial.,neutral,neutral,"patients_in_trials_premise = 240
average_patients_per_trial_hypothesis = 200

# the hypothesis talks about the average number of patients involved in clinical trials
# the premise provides specific data about one trial in which 240 patients are involved

if patients_in_trials_premise < average_patients_per_trial_hypothesis:
    # check if the number of patients involved in the clinical trial from the premise is less than the average number of patients per trial in the hypothesis
    label = ""contradiction""
elif patients_in_trials_premise > average_patients_per_trial_hypothesis:
    # check if the number of patients involved in the clinical trial from the premise is more than the average number of patients per trial in the hypothesis
    label = ""contradiction""
else:
    # if the number of patients involved in the clinical trial from the premise is equal to the average number of patients per trial in the hypothesis
    label = ""entailment""

print(label)
"
109,"Phil Mickelson finished a triumphant week in his second home, winning the FBR Open by five strokes for his largest margin of victory in a PGA Tour event.","Mickelson won by five shots last week, the largest margin of his career.",neutral,entailment,"winning_margin_premise = 5
winning_margin_hypothesis = 5

largest_margin_premise = True 
largest_margin_hypothesis = True 

# the hypothesis talks about the margin of victory and whether it's the largest in his career
# both of these facts are presented in the premise
if winning_margin_hypothesis != winning_margin_premise:
    # check if the winning margin in the hypothesis contradicts the winning margin in the premise
    label = ""contradiction""
elif largest_margin_hypothesis != largest_margin_premise:
    # check if the statement about this being the largest margin of his career contradicts the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
119,"In the May 2005 general election Michael Howard failed to unseat the Labour Government, although the Conservatives did gain 33 seats, playing the most significant role in reducing Labour's majority from 167 to 66.",In the May 2005 general election Conservatives got 33 seats.,neutral,entailment,"conservatives_gain_premise = 33
conservatives_gain_hypothesis = 33

# the hypothesis talks about the number of seats gained by the Conservatives in the election, which is also mentioned in the premise
if conservatives_gain_hypothesis == conservatives_gain_premise:
    # if the number of seats gained by the Conservatives in the hypothesis is the same as in the premise, we can infer entailment
    label = ""entailment""
else:
    # if the number of seats gained by the Conservatives in the hypothesis is not the same as in the premise, we have a contradiction
    label = ""contradiction""

print(label)
"
148,"Foreign Ministers of the 16 NATO member countries met early this morning with their Russian counterpart, Yevgeny Primakov, in Berlin in a bid to improve NATO-Russia relations.",The NATO has 16 members.,entailment,entailment,"nato_members_premise = 16
nato_members_hypothesis = 16

# the hypothesis talks about the number of NATO members which is also mentioned in the premise
if nato_members_hypothesis != nato_members_premise:
    # check if the number of NATO members in the hypothesis contradicts the number of NATO members from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
98,"Two car bombs explode near a police station outside of Baghdad's Green Zone, killing seven police officers and wounding about 60 others.",60 people are killed when a car bomb explodes near a police station in Baghdad.,neutral,neutral,"killed_premise = 7
wounded_premise = 60
car_bombs_premise = 2

killed_hypothesis = 60
car_bombs_hypothesis = 1

# the hypothesis talks about the number of people killed and the number of car bombs exploded, which are both mentioned in the premise
if killed_hypothesis != killed_premise:
    # check if the number of people killed in the hypothesis contradicts the number of people killed from the premise
    label = ""contradiction""
elif car_bombs_hypothesis != car_bombs_premise:
    # check if the number of car bombs in the hypothesis contradicts the number of car bombs in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
7,"The first Windows Challenge was held in 2004, consisting of less than 30 teams within the United States. In 2005, it was opened to the rest of the world. 278 teams from all over the world participated.",278 teams from all over the world participated in the first Windows Challenge.,neutral,neutral,"first_challenge_year_premise = 2004
teams_in_US_premise = 30
second_challenge_year_premise = 2005
world_teams_premise = 278
first_challenge_year_hypothesis = 2004
world_teams_hypothesis = 278

# the hypothesis talks about the number of teams from all over the world in the first challenge, which contradicts the premise
if first_challenge_year_hypothesis == first_challenge_year_premise and world_teams_hypothesis >= teams_in_US_premise:
    # check if the number of teams in the first challenge contradicts the number of teams in the premise
    label = ""contradiction""
else:
    # otherwise, the relation is neutral
    label = ""neutral""

print(label)
"
136,"At the 1932 Olympic Games in Los Angeles, Didrikson won gold medals in the javelin (Olympic record) and 80-meter hurdles (world record), along with a silver in the high jump (share of the world record).","2,45 m is the world record in the high jump.",neutral,neutral,"# No numerical values are given in the premise or the hypothesis to compare
# The premise doesn't give a numerical value for the high jump record
# The hypothesis provides a numerical value for the high jump record but it does not indicate whether this value is from the 1932 Olympic Games

# Thus, no comparison between the premise and hypothesis can be made
label = ""neutral""

print(label)
"
153,The investigation involving Mr Lopez and three associates are primarily concerned with suspicions of the systematic theft of secrets.,Seven other GM executives left with Lopez.,neutral,neutral,"# The premise and hypothesis do not have any numerical entities to compare.
# Therefore, no comparison can be made between the premise and the hypothesis in terms of numerical entities.
# As such, the relation is neutral.

label = ""neutral""

print(label)
"
102,"A mortar attack north of Baghdad killed four Iraqi national guardsmen and wounded 80 others Tuesday, while a top official from a prominent charity was kidnapped in the Iraqi capital.","On Tuesday, a mortar attack killed four Iraqi guardsmen and injured 80 north of Baghdad.",entailment,entailment,"guardsmen_killed_premise = 4
guardsmen_wounded_premise = 80
guardsmen_killed_hypothesis = 4
guardsmen_wounded_hypothesis = 80

# the hypothesis talks about the number of guardsmen killed and wounded in a mortar attack, which is also mentioned in the premise
if guardsmen_killed_hypothesis != guardsmen_killed_premise:
    # check if the number of guardsmen killed in the hypothesis contradicts the number killed in the premise
    label = ""contradiction""
elif guardsmen_wounded_hypothesis != guardsmen_wounded_premise:
    # check if the number of guardsmen wounded in the hypothesis contradicts the number wounded in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
15,"The American computer company Apple has reached 78 percent increase in its profits during the last quarter, which ended December 30, 2006.",Apple's profits rose by 78 percent during the last quarter of 2006.,entailment,entailment,"profit_increase_percentage_premise = 78
profit_increase_percentage_hypothesis = 78
quarter_end_year_premise = 2006
quarter_end_year_hypothesis = 2006

# the hypothesis talks about the percent increase in profits that Apple has experienced in a given quarter of a year
# first we check if the profit increase percentage from the hypothesis contradicts the percent increase in profits from the premise
if profit_increase_percentage_hypothesis != profit_increase_percentage_premise:
    label = ""contradiction""
# next we check if the quarter end year from the hypothesis contradicts the quarter end year from the premise
elif quarter_end_year_hypothesis != quarter_end_year_premise:
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
44,"A former executive of Digital Equipment Corp. and two others pleaded guilty Tuesday to siphoning nearly $300,000 from the computer company.","A former executive of Digital Equipment Corp. siphoned nearly $300,000 from the company.",entailment,entailment,"money_siphoned_premise = 300000
money_siphoned_hypothesis = 300000

# the hypothesis talks about the money siphoned by an executive which is also mentioned in the premise
if money_siphoned_hypothesis != money_siphoned_premise:
    # check if the amount siphoned in the hypothesis contradicts the amount from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
70,"The Council of Europe has 45 member states. Three countries from outside Europe (Canada, Israel and Mexico) have observer status in the Parliamentary Assembly.",The Council of Europe is made up by 45 member states.,entailment,entailment,"member_states_premise = 45
member_states_hypothesis = 45

# the hypothesis talks about the total number of member states in the Council of Europe, which is also mentioned in the premise
if member_states_hypothesis != member_states_premise:
    # check if the number of member states in the hypothesis contradicts the number of member states in the premise
    label = ""contradiction""
else:
    # if the hypothesis value does not contradict the premise value, we can infer entailment
    label = ""entailment""

print(label)
"
21,"The 8,568-meter Mt. Kanchenjunga, the third highest in the world, is located in the border area of Nepal, India and China.",Kanchenjunga is 8586 meters high.,neutral,neutral,"mt_height_premise = 8568
mt_height_hypothesis = 8586

# the hypothesis talks about the height of Kanchenjunga which is also mentioned in the premise
if mt_height_hypothesis != mt_height_premise:
    # check if the height in the hypothesis contradicts the height in the premise
    label = ""contradiction""
else:
    # if the height in the hypothesis does not contradict the height in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
83,"New voters also are less likely to be Republicans (27 percent, compared with 36 percent of repeat voters) and more apt to be liberals (28 percent vs. 17 percent).","Among likely voters in this survey, 36 percent are Democrats.",neutral,neutral,"republicans_new_voters_premise = 27
republicans_repeat_voters_premise = 36
liberals_new_voters_premise = 28
liberals_repeat_voters_premise = 17

democrats_hypothesis = 36

# the hypothesis talks about the percentage of democrats, which is not referenced in the premise (only republicans and liberals are mentioned)
# the hypothesis cannot be entailed from the premise, since the percentage of democrats is unknown.
label = ""neutral""

print(label)
"
93,"Insurgents exposed the vulnerability of Iraq's security forces again Sunday, killing at least 22 national guardsmen and their driver in a suicide bombing and 10 other people in separate attacks with elections just weeks away.",A suicide bomber blew up his vehicle killing at least 14 people.,neutral,entailment,"guardsmen_killed_premise = 22
driver_killed_premise = 1
other_people_killed_premise = 10
total_people_killed_premise = guardsmen_killed_premise + driver_killed_premise + other_people_killed_premise
people_killed_hypothesis = 14

# the hypothesis talks about the number of people killed by a suicide bomber, which is also mentioned in the premise
if people_killed_hypothesis > total_people_killed_premise:
    # check if the number of people killed in the hypothesis contradicts the total number of people killed in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
31,Iran's population growth rate of 3.9 per cent a year in the early 1980s was among the highest in the world.,Iran's growth rate was once 3.9 percent.,neutral,entailment,"growth_rate_premise = 3.9
growth_rate_hypothesis = 3.9

# the hypothesis talks about Iran's growth rate, which is also mentioned in the premise
if growth_rate_hypothesis == growth_rate_premise:
    # check if the growth rate in the hypothesis is equal to the growth rate in the premise
    label = ""entailment""
else:
    # if the growth rate in the hypothesis is not equal to the growth rate in the premise, we can infer contradiction
    label = ""contradiction""

print(label)
"
60,"Specifically, the October 4, 1994 earthquake (as the October 12, 1963 earthquake) ocurred at the Pacific side boundary of the Kuril arc (the South Kuril Islands) of the Okhotsk plate.",An earthquake occurred in 1994.,entailment,entailment,"earthquake_year_premise = 1994
earthquake_year_hypothesis = 1994

# the hypothesis talks about an earthquake happening in a certain year, which is also mentioned in the premise
if earthquake_year_hypothesis != earthquake_year_premise:
    # check if the year in the hypothesis contradicts the year in the premise
    label = ""contradiction""
else:
    # if the year in the hypothesis does not contradict the year in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
